,Name,Class,Subtype,D170,d30Si,d51V,e53Cr,e54Cr,D170_2se,d30Si_2se,d51V_2se,e53Cr_2se,e54Cr_2se
166,Kendleton,Ordinary Chondrites,L4 ...,1.03,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
167,Kernouve,Ordinary Chondrites,H6 ...,0.78,NaN,NaN,0.19,-0.370,0.07,NaN,NaN,0.06,0.07
168,Kesen,Ordinary Chondrites,H4 ...,0.63,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
169,Khairpur,Enstatite Chondrites,EL6 ...,0.1,NaN,NaN,0.27,0.14,0.07,NaN,NaN,0.1,0.19
170,Khairpur (A),Enstatite Chondrites,EL6 ...,NaN,-0.580,NaN,NaN,NaN,NaN,0.13,NaN,NaN,NaN
171,Khanpur,Ordinary Chondrites,LL5 ...,1.41,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
172,Knyahinya,Ordinary Chondrites,L5 ...,1.05,NaN,NaN,0.15,-0.380,0.07,NaN,NaN,0.06,0.08
173,KotaKota,Enstatite Chondrites,EH4 ...,-0.150,NaN,NaN,0.105,0.08,0.07,NaN,NaN,0.07,0.21
174,Ksar Ghilane 002,Mars,None,0.325,NaN,NaN,NaN,NaN,0.2,NaN,NaN,NaN,NaN
175,LAP03601,Ordinary Chondrites,H4 ...,NaN,NaN,NaN,0.21,-0.280,NaN,NaN,NaN,0.06,0.11
176,LEW85311,Carbonaceous Chondrites,CM2 ...,-3.230,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
177,LEW85332,Carbonaceous Chondrites,C3-un ...,-2.420,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
178,LEW86258,Carbonaceous Chondrites,CK4 ...,-4.550,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
179,LEW87009,Carbonaceous Chondrites,CK6 ...,-4.320,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
180,LEW87016,Carbonaceous Chondrites,CM2 ...,-2.950,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
181,LEW87022,Carbonaceous Chondrites,CM2 ...,-2.200,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
182,LEW87148,Carbonaceous Chondrites,CM2 ...,-2.150,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
183,LEW87214,Carbonaceous Chondrites,CK4 ...,-4.250,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
184,LEW88001,Carbonaceous Chondrites,CM2 ...,-2.900,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
185,LEW88002,Carbonaceous Chondrites,CM2 ...,-4.210,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
186,LEW90500,Carbonaceous Chondrites,CM2 ...,-2.480,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
187,LON94100,Enstatite Chondrites,EL6 ...,NaN,-0.650,NaN,0.17,-0.020,NaN,0.07,NaN,0.04,0.14
188,Lafayette,Mars,Nakhlite_cpxnite ...,0.62,-0.530,NaN,NaN,NaN,0.07,0.06,NaN,NaN,NaN
189,Lance,Carbonaceous Chondrites,CO3 ...,-4.350,NaN,NaN,-0.040,0.57,0.07,NaN,NaN,0.07,0.11
190,LeTeilleul,Vesta,Howardite ...,NaN,-0.450,NaN,NaN,NaN,NaN,0.05,NaN,NaN,NaN
191,Leighton,Ordinary Chondrites,H5 ...,0.87,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
192,Leoville,Carbonaceous Chondrites,CV3 ...,-4.730,NaN,NaN,0.12,0.71,0.07,NaN,NaN,0.04,0.15
193,LosAngeles,Mars,"Shergottite,_Px-phyricbasalt ...",0.17,-0.330,NaN,NaN,NaN,0.07,0.06,NaN,NaN,NaN
194,MAC 88184,Enstatite Chondrites,EL3 ...,NaN,-0.520,NaN,NaN,NaN,NaN,0.09,NaN,NaN,NaN
195,MAC87300,Carbonaceous Chondrites,C2-un ...,-3.950,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
196,MAC87320,Carbonaceous Chondrites,CR2 ...,-1.800,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
197,MAC88100,Carbonaceous Chondrites,CM2 ...,-2.130,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
198,MAC88101,Carbonaceous Chondrites,CM2 ...,-2.240,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
199,MAC88107,Carbonaceous Chondrites,C2-un ...,-4.390,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
200,MAC88136,Enstatite Chondrites,EL3 ...,NaN,NaN,NaN,0.15,0.02,NaN,NaN,NaN,0.03,0.09
201,MAC88176,Carbonaceous Chondrites,CM2 ...,-2.030,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
202,MG91-3,Earth,Peridotite ...,NaN,-0.300,NaN,NaN,NaN,NaN,0.06,NaN,NaN,NaN
203,MIL-03_346,Mars,Nakhlite_cpxnite ...,NaN,-0.490,NaN,NaN,NaN,NaN,0.06,NaN,NaN,NaN
204,Mangwandi,Ordinary Chondrites,LL6 ...,1.14,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
205,Maralinga,Carbonaceous Chondrites,CK4 ...,-4.450,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
206,Mighei,Carbonaceous Chondrites,CM2 ...,-2.500,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
207,Mocs,Ordinary Chondrites,L6 ...,1.13,-0.460,NaN,NaN,NaN,0.07,0.06,NaN,NaN,NaN
208,Modoc,Ordinary Chondrites,L6 ...,1.08,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
209,Mokoia,Carbonaceous Chondrites,CV3 ...,-2.740,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
210,Moore county,Vesta,Eucrite ...,0.32,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
211,Mt.Browne,Ordinary Chondrites,H6 ...,0.69,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
212,Murchison,Carbonaceous Chondrites,CM2 ...,-2.600,NaN,NaN,0.16,0.89,0.07,NaN,NaN,0.04,0.08
213,Murray,Carbonaceous Chondrites,CM2 ...,-3.070,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
214,NK-01,Earth,Peridotite ...,NaN,-0.290,NaN,NaN,NaN,NaN,0.02,NaN,NaN,NaN
215,NWA-1757,Carbonaceous Chondrites,CO3 ...,NaN,-0.450,NaN,NaN,NaN,NaN,0.04,NaN,NaN,NaN
216,NWA-1777,Vesta,Eucrite ...,NaN,-0.460,NaN,NaN,NaN,NaN,0.02,NaN,NaN,NaN
217,NWA-2258,Ordinary Chondrites,L5 ...,NaN,-0.470,NaN,NaN,NaN,NaN,0.06,NaN,NaN,NaN
218,NWA-4260,Ordinary Chondrites,L6 ...,NaN,-0.470,NaN,NaN,NaN,NaN,0.04,NaN,NaN,NaN
219,NWA-4278,Ordinary Chondrites,L6 ...,NaN,-0.460,NaN,NaN,NaN,NaN,0.02,NaN,NaN,NaN
220,NWA-4425,Carbonaceous Chondrites,CK3 ...,NaN,-0.410,NaN,NaN,NaN,NaN,0.01,NaN,NaN,NaN
221,NWA1670,Angrites,None,NaN,-0.168,NaN,NaN,NaN,NaN,0.052,NaN,NaN,NaN
222,NWA6291,Angrites,None,NaN,-0.221,NaN,NaN,NaN,NaN,0.076,NaN,NaN,NaN
223,Nakhla,Mars,SNC ...,0.305,-0.560,-1.70,0.27,-0.350,0.032,0.07,0.2,0.1,0.19
224,NanYangPo,Ordinary Chondrites,L4 ...,0.97,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
225,Ningqiang,Carbonaceous Chondrites,CV3 ...,-4.550,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
226,Nogoya,Carbonaceous Chondrites,CM2 ...,-2.000,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
227,NuevoLaredo,Vesta,Mesosiderite ...,NaN,NaN,NaN,0.815,-0.385,NaN,NaN,NaN,0.08,0.11
228,OU-2,Earth,Dolerite ...,NaN,-0.250,NaN,NaN,NaN,NaN,0.02,NaN,NaN,NaN
229,Ochansk,Ordinary Chondrites,H4 ...,0.82,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
230,Olivenza,Ordinary Chondrites,LL5 ...,NaN,NaN,NaN,0.23,NaN,NaN,NaN,NaN,0.06,NaN
231,Olivernza,Ordinary Chondrites,LL5 ...,1.125,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
232,Orgueil,Carbonaceous Chondrites,CI ...,0.39,-0.440,-1.90,0.22,1.62,0.07,0.03,0.2,0.05,0.13
233,Ornans,Carbonaceous Chondrites,CO3 ...,-4.450,NaN,NaN,0.19,1.03,0.07,NaN,NaN,0.1,0.19
234,PAT91546,Carbonaceous Chondrites,CH3 ...,-1.250,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
235,PCA82500,Carbonaceous Chondrites,CK4 ...,-3.460,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
236,PCA91020,Enstatite Chondrites,EL3 ...,NaN,NaN,NaN,0.16,0.09,NaN,NaN,NaN,0.03,0.08
237,PCA91328,Carbonaceous Chondrites,CH3 ...,-1.500,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
238,PCA91452,Carbonaceous Chondrites,CH3 ...,-1.270,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
239,PCA91467,Carbonaceous Chondrites,CH3 ...,-1.470,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
240,PCC-1,Earth,None,NaN,NaN,NaN,0.03,0.13,NaN,NaN,NaN,0.04,0.08
241,PMS,Earth,"MicrogabbroPitscurrie, ...",NaN,-0.290,NaN,NaN,NaN,NaN,0.03,NaN,NaN,NaN
242,PREM89-1,Earth,Peridotite ...,NaN,-0.280,NaN,NaN,NaN,NaN,0.04,NaN,NaN,NaN
243,PREM90-24,Earth,Peridotite ...,NaN,-0.300,NaN,NaN,NaN,NaN,0.05,NaN,NaN,NaN
244,Pantar,Ordinary Chondrites,H5 ...,0.56,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
245,Paragould,Ordinary Chondrites,LL5 ...,1.39,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
246,Parnallee,Ordinary Chondrites,LL3 ...,NaN,-0.480,NaN,0.38,-0.080,NaN,0.08,NaN,0.1,0.19
247,Parsa,Enstatite Chondrites,EH4 ...,0.03,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
248,Pasamonte,Vesta,Eucrite ...,0.31,-0.380,-1.70,0.82,-0.450,0.07,0.04,0.1,0.1,0.19
249,Pillistfer,Enstatite Chondrites,EL6 ...,0.02,-0.410,NaN,0.15,0.09,0.07,0.081,NaN,0.05,0.08
250,Plainview,Ordinary Chondrites,H5 ...,NaN,NaN,-1.70,NaN,NaN,NaN,NaN,0.3,NaN,NaN
251,QUE93005,Carbonaceous Chondrites,CM2 ...,-2.540,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
252,QUE93429,Carbonaceous Chondrites,CV3 ...,-5.270,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
253,QUE94204,Enstatite Chondrites,EH7 ...,NaN,NaN,NaN,0.28,0.21,NaN,NaN,NaN,0.03,0.08
254,QUE94411,Carbonaceous Chondrites,CB ...,-2.250,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
255,QUE97008,Ordinary Chondrites,L3 ...,NaN,NaN,NaN,0.17,-0.420,NaN,NaN,NaN,0.06,0.14
256,Qidong,Ordinary Chondrites,L5 ...,1.09,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
257,Qingzhen,Enstatite Chondrites,EH3 ...,-0.030,-0.820,NaN,0.2,-0.020,0.07,0.11,NaN,0.06,0.08
258,Queen'sMercy,Ordinary Chondrites,H6 ...,0.72,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
259,RKP92435,Carbonaceous Chondrites,CH3 ...,-1.520,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
260,ROM69,Earth,None,NaN,NaN,NaN,0.05,0.16,NaN,NaN,NaN,0.04,0.1
261,Ramsdorf,Ordinary Chondrites,L6 ...,0.805,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
262,Renazzo,Carbonaceous Chondrites,CR2 ...,-0.960,NaN,NaN,0.2,1.3,0.07,NaN,NaN,0.1,0.21
263,Richardton,Ordinary Chondrites,H5 ...,0.61,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
264,SaU-005,Mars,"Shergottite,_Ol-phyricbasalt ...",NaN,-0.450,NaN,NaN,NaN,NaN,0.02,NaN,NaN,NaN
265,Sahara 97096,Enstatite Chondrites,EH3 ...,NaN,-0.820,NaN,NaN,NaN,NaN,0.09,NaN,NaN,NaN
266,Sahara99555,Angrites,None,NaN,-0.243,NaN,NaN,NaN,NaN,0.068,NaN,NaN,NaN
267,Saratov,Ordinary Chondrites,L4 ...,1.02,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
268,Savtschenskoje,Ordinary Chondrites,LL4 ...,1.285,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
269,Serra de Mag6,Vesta,Eucrite ...,0.51,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
270,Shalka,Vesta,Diogenite ...,NaN,NaN,NaN,-0.030,-0.800,NaN,NaN,NaN,0.06,0.06
271,Shergotty,Mars,SNC ...,0.335,-0.450,NaN,0.22,-0.180,0.068,0.06,NaN,0.08,0.17
272,Siena,Ordinary Chondrites,LL5 ...,1.32,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
273,SokoBanja,Ordinary Chondrites,LL4 ...,1.32,NaN,NaN,0.34,NaN,0.07,NaN,NaN,0.06,NaN
274,SouthOman,Enstatite Chondrites,EH4 ...,-0.370,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
275,St.Marks,Enstatite Chondrites,EH5 ...,0.11,-0.740,NaN,NaN,NaN,0.07,0.11,NaN,NaN,NaN
276,St.Mesmin,Ordinary Chondrites,LL6 ...,1.13,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
277,St.Sauveur,Enstatite Chondrites,EH5 ...,0.04,-0.590,NaN,NaN,NaN,0.07,0.05,NaN,NaN,NaN
278,St.Séveron,Ordinary Chondrites,LL6 ...,1.16,NaN,NaN,0.28,-0.410,0.07,NaN,NaN,0.06,0.1
279,Stannern,Vesta,Eucrite ...,NaN,NaN,NaN,0.63,-0.710,NaN,NaN,NaN,0.07,0.07
280,Ste.-Marguerite,Ordinary Chondrites,H4 ...,NaN,NaN,NaN,0.13,-0.390,NaN,NaN,NaN,0.06,0.07
281,Sutter's Mill 43,Carbonaceous Chondrites,CM2 ...,NaN,NaN,NaN,0.14,0.95,NaN,NaN,NaN,0.04,0.09
282,Sutter's Mill 51,Carbonaceous Chondrites,CM2 ...,NaN,NaN,NaN,0.12,0.88,NaN,NaN,NaN,0.04,0.07
283,TIEcondrule-magnetic,Ordinary Chondrites,H3 ...,NaN,NaN,NaN,0.24,-0.170,NaN,NaN,NaN,0.04,0.12
284,TIEcondrule-non-magnetic,Ordinary Chondrites,H3 ...,NaN,NaN,NaN,0.35,-0.180,NaN,NaN,NaN,0.05,0.12
285,TIEmatrix,Ordinary Chondrites,H3 ...,NaN,NaN,NaN,0.3,-0.250,NaN,NaN,NaN,0.07,0.14
286,TIEmetal,Ordinary Chondrites,H3 ...,NaN,NaN,NaN,0.44,0.79,NaN,NaN,NaN,0.09,0.12
287,Tagish Lake-1,Carbonaceous Chondrites,C2-un ...,-0.870,NaN,NaN,0.53,1.19,0.07,NaN,NaN,0.05,0.15
288,Tanezrouft-065,Ordinary Chondrites,L4 ...,NaN,-0.480,NaN,NaN,NaN,NaN,0.01,NaN,NaN,NaN
289,Tatahouine,Vesta,Vesta ...,NaN,NaN,NaN,0.18,-0.560,NaN,NaN,NaN,0.06,0.19
290,Tathlith,Ordinary Chondrites,L6 ...,1.15,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
291,Tennasilm,Ordinary Chondrites,L4 ...,1.15,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
292,Tibetchromite,Earth,None,NaN,NaN,NaN,0.03,0.03,NaN,NaN,NaN,0.07,0.08
293,Tibetchromiteb,Earth,None,NaN,NaN,NaN,NaN,-0.010,NaN,NaN,NaN,NaN,0.14
294,Tibooburra,Carbonaceous Chondrites,CV3 ...,-4.710,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
295,Tillaberi,Ordinary Chondrites,L6 ...,0.97,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
296,TysnesIsland,Ordinary Chondrites,H4 ...,0.7,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
297,Ufana,Enstatite Chondrites,EL6 ...,0.12,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
298,VacaMuerta,Vesta,Mesosiderite ...,NaN,NaN,NaN,0.12,-0.750,NaN,NaN,NaN,0.06,0.1
299,Vavilovka,Ordinary Chondrites,LL6 ...,1.21,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
300,Vigarano,Carbonaceous Chondrites,CV3 ...,-4.230,NaN,NaN,0.18,0.865,0.07,NaN,NaN,0.07,0.12
301,WITS-1,Earth,Komatiite ...,NaN,-0.260,NaN,NaN,NaN,NaN,0.04,NaN,NaN,NaN
302,Warrenton,Carbonaceous Chondrites,CO3 ...,-4.070,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
303,Watson002,Carbonaceous Chondrites,CK3 ...,-3.210,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
304,Weatherford,Carbonaceous Chondrites,CB ...,-2.530,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
305,Weston,Ordinary Chondrites,H4 ...,0.88,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
306,Witsand,Ordinary Chondrites,LL4 ...,1.35,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
307,Xingyang,Ordinary Chondrites,H5 ...,0.81,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
308,Xiujimgin,Ordinary Chondrites,L6 ...,1.06,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
309,Y6903,Carbonaceous Chondrites,CK4 ...,-4.170,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
310,Y691,Enstatite Chondrites,EH4 ...,-0.050,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
311,Y790112,Carbonaceous Chondrites,CR2 ...,-1.560,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
312,Y791498,Carbonaceous Chondrites,CR2 ...,-1.640,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
313,Y791717,Carbonaceous Chondrites,CO3 ...,-4.370,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
314,Y793321,Carbonaceous Chondrites,CM2 ...,-2.940,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
315,Y793495,Carbonaceous Chondrites,CR2 ...,-1.630,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
316,Y793595,Carbonaceous Chondrites,CM2 ...,-2.450,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
317,Y82042,Carbonaceous Chondrites,CM1/2 ...,-2.020,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
318,Y82054,Carbonaceous Chondrites,CM2 ...,-4.840,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
319,Y82098,Carbonaceous Chondrites,CM2 ...,-3.810,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
320,Y82104,Carbonaceous Chondrites,CK5 ...,-4.300,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
321,Y82162,Carbonaceous Chondrites,C1/2-un ...,0.38,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
322,Y8449,Carbonaceous Chondrites,CR2 ...,-2.160,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
323,Y86695,Carbonaceous Chondrites,CM2 ...,-4.140,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
324,Y86720,Carbonaceous Chondrites,C2-un ...,-0.010,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
325,Y86789,Carbonaceous Chondrites,C2-un ...,-0.060,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
326,Zagami,Mars,Shergottite_basalt ...,0.343,-0.490,NaN,NaN,NaN,0.056,0.05,NaN,NaN,NaN
327,Zhovtnevyi,Ordinary Chondrites,H5 ...,0.86,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
